# SKU Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5G Channel,CCK,,,,OFDM,,,,,,,,BW20,,,,,,,,,,BW40,,,,,,,,,,,BW80,,,,,,,,,,BW160,,,,,,,,,,,,,,,,,
Band: 5G,CCK_1M,CCK_2M,CCK_5.5M,CCK_11M,OFDM_6M,OFDM_9M,OFDM_12M,OFDM_18M,OFDM_24M,OFDM36M,OFDM_48M,OFDM_54M,HT/VHT20_MCS0,HT/VHT20_MCS1,HT/VHT20_MCS2,HT/VHT20_MCS3,HT/VHT20_MCS4,HT/VHT20_MCS5,HT/VHT20_MCS6,HT/VHT20_MCS7,HT/VHT20_MCS8,HT/VHT20_MCS9,HT/VHT40_MCS0,HT/VHT40_MCS1,HT/VHT40_MCS2,HT/VHT40_MCS3,HT/VHT40_MCS4,HT/VHT40_MCS5,HT/VHT40_MCS6,HT/VHT40_MCS7,HT/VHT40_MCS8,HT/VHT40_MCS9,HT40_MCS32,VHT80_MCS0,VHT80_MCS1,VHT80_MCS2,VHT80_MCS3,VHT80_MCS4,VHT80_MCS5,VHT80_MCS6,VHT80_MCS7,VHT80_MCS8,VHT80_MCS9,VHT160_MCS0,VHT160_MCS1,VHT160_MCS2,VHT160_MCS3,VHT160_MCS4,VHT160_MCS5,VHT160_MCS6,VHT160_MCS7,VHT160_MCS8,VHT160_MCS9
Ch184,60,60,60,60,15,23,16,19,17,22,22,20,23,24,18,20,20,15,18,23,21,23,20,16,17,19,16,23,18,20,19,16,20,24,18,19,15,19,23,20,21,21,15,15,24,24,15,16,24,17,23,20,15
Ch188,60,60,60,60,22,17,20,19,19,20,23,24,19,19,18,24,21,20,22,15,15,21,24,19,21,20,18,20,16,19,18,15,19,24,19,22,17,17,20,20,18,22,22,24,19,18,18,16,16,18,15,22,15
Ch192,60,60,60,60,21,18,21,16,22,21,17,15,22,20,23,18,19,17,18,15,20,22,23,21,17,23,22,24,17,16,15,24,16,24,24,18,20,20,24,20,19,18,18,19,23,19,24,16,20,17,22,15,24
Ch196,60,60,60,60,22,19,24,24,16,23,17,16,21,18,15,24,20,24,21,23,17,24,15,20,16,23,17,21,16,15,24,16,15,18,22,17,17,19,22,21,15,17,15,22,15,24,16,23,23,23,24,24,15
Ch8,60,60,60,60,15,20,23,23,15,23,24,19,22,18,20,21,24,19,20,21,22,18,21,18,20,16,19,23,22,19,23,23,19,22,21,19,21,20,22,20,23,23,21,23,21,21,22,21,22,24,24,17,19
Ch12,60,60,60,60,17,18,16,17,20,18,19,16,17,17,24,22,24,24,16,22,17,17,24,23,21,23,18,19,20,17,24,22,17,15,15,17,15,18,17,22,21,19,15,24,15,15,16,19,21,23,19,17,23
Ch16,60,60,60,60,20,23,20,21,20,21,20,15,22,20,21,16,23,16,15,17,20,17,19,24,24,24,15,18,24,24,22,24,24,16,16,24,20,15,22,24,17,24,24,23,16,22,17,15,18,24,20,16,21
Ch36,60,60,60,60,19,19,19,19,19,19,18,18,19,19,19,19,19,19,18,18,17,17,19,19,19,19,19,19,18,18,17,16,15,19,19,19,19,19,19,18,18,17,16,60,60,60,60,60,60,60,60,60,60
Ch40,60,60,60,60,19,19,19,19,19,19,18,18,19,19,19,19,19,19,18,18,17,17,19,19,19,19,19,19,18,18,17,16,16,19,19,19,19,19,19,18,18,17,16,60,60,60,60,60,60,60,60,60,60
Ch44,60,60,60,60,19,19,19,19,19,19,18,18,19,19,19,19,19,19,18,18,17,17,19,19,19,19,19,19,18,18,17,16,16,19,19,19,19,19,19,18,18,17,16,60,60,60,60,60,60,60,60,60,60
Ch48,60,60,60,60,19,19,19,19,19,19,18,18,19,19,19,19,19,19,18,18,17,17,19,19,19,19,19,19,18,18,17,16,16,19,19,19,19,19,19,18,18,17,16,60,60,60,60,60,60,60,60,60,60
Ch52,60,60,60,60,19,19,19,19,19,19,17,17,19,19,19,18,18,18,17,17,16,16,19,19,19,18,18,18,17,17,16,16,18,19,19,19,18,18,18,17,17,16,16,60,60,60,60,60,60,60,60,60,60
Ch56,60,60,60,60,19,19,19,19,19,19,17,17,19,19,19,18,18,18,17,17,16,16,19,19,19,18,18,18,17,17,16,16,18,19,19,19,18,18,18,17,17,16,16,60,60,60,60,60,60,60,60,60,60
Ch60,60,60,60,60,19,19,19,19,19,19,17,17,19,19,19,18,18,18,17,17,16,16,19,19,19,18,18,18,17,17,16,16,18,19,19,19,18,18,18,17,17,16,16,60,60,60,60,60,60,60,60,60,60
Ch64,60,60,60,60,19,19,19,19,19,19,17,17,19,19,19,18,18,18,17,17,16,16,19,19,19,18,18,18,17,17,16,16,18,19,19,19,18,18,18,17,17,16,16,60,60,60,60,60,60,60,60,60,60
Ch68,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch72,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch76,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch80,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch84,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch88,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch92,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch96,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch100,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch104,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch108,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch112,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch116,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch120,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch124,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch128,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch132,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch136,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch140,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch144,60,60,60,60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,60,60,60,60,60,60,60,60,60,60
Ch149,60,60,60,60,20,20,20,20,20,20,18,18,20,20,20,19,19,19,18,18,17,17,20,20,20,19,19,19,18,18,17,16,16,16,16,16,16,16,16,16,16,16,16,60,60,60,60,60,60,60,60,60,60
Ch153,60,60,60,60,20,20,20,20,20,20,18,18,20,20,20,19,19,19,18,18,17,17,20,20,20,19,19,19,18,18,17,16,16,16,16,16,16,16,16,16,16,16,16,60,60,60,60,60,60,60,60,60,60
Ch157,60,60,60,60,20,20,20,20,20,20,18,18,20,20,20,19,19,19,18,18,17,17,20,20,20,19,19,19,18,18,17,16,16,16,16,16,16,16,16,16,16,16,16,60,60,60,60,60,60,60,60,60,60
Ch161,60,60,60,60,20,20,20,20,20,20,18,18,20,20,20,19,19,19,18,18,17,17,20,20,20,19,19,19,18,18,17,16,16,16,16,16,16,16,16,16,16,16,16,60,60,60,60,60,60,60,60,60,60
Ch165,60,60,60,60,20,20,20,20,20,20,18,18,20,20,20,19,19,19,18,18,17,17,20,20,20,19,19,19,18,18,17,16,16,16,16,16,16,16,16,16,16,16,16,60,60,60,60,60,60,60,60,60,60
Ch169,60,60,60,60,19,19,17,23,16,16,21,24,22,24,16,21,20,17,16,18,20,21,21,20,23,20,23,23,21,21,16,19,21,15,24,19,19,22,22,17,24,20,22,20,24,16,23,17,22,15,17,16,16
Ch173,60,60,60,60,15,18,24,17,22,18,19,20,19,22,21,16,24,24,24,15,22,19,18,16,21,23,20,23,22,17,17,23,17,17,23,18,24,18,24,15,20,19,24,16,17,21,16,23,18,19,22,16,16
Ch177,60,60,60,60,23,17,24,22,20,17,24,23,20,22,17,20,15,18,21,15,22,15,21,16,19,20,23,22,20,20,22,17,20,20,21,18,16,18,20,20,23,15,20,24,19,19,23,18,21,24,19,22,23
Ch181,60,60,60,60,16,20,19,18,23,24,19,16,19,16,16,24,20,20,15,18,23,19,19,19,15,22,17,23,18,15,21,20,15,24,17,20,15,15,17,16,18,18,22,19,20,20,19,23,20,15,19,24,23
